Time,CAV_BAS:DesPer 1:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Heat Cap [W],CAV_BAS:DesPer 1:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Sens Cool Cap [W],CAV_BAS:DesPer 1:Des Tot Cool Cap [W],CAV_BAS:DesPer 2:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Heat Cap [W],CAV_BAS:DesPer 2:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Sens Cool Cap [W],CAV_BAS:DesPer 2:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Tot Cool Cap [W]
00:01:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.271917E+04,1.833264E+00,2.065020E+04,1.888713E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.901507E+00,8.591569E+04,8.210104E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.954112E+01,5.871545E+05,5.445238E+05,1.688550E+00,4.937555E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.648153E+00,5.444194E+04,5.007200E+04,3.747560E-01,2.120127E+04,2.163149E+01,2.923538E+05,2.903816E+05,3.747560E-01,6.405834E+03,2.323740E+01,3.300640E+05,3.336312E+05,1.731217E-02,9.794109E+02,4.390798E-01,5.511967E+03,5.317679E+03,1.731217E-02,2.959230E+02,6.411666E-01,9.079030E+03,9.164056E+03,3.985189E-01,1.477694E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.959230E+03,5.282204E+00,7.467401E+04,7.531588E+04,5.904110E-02,1.901908E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.959230E+02,5.215861E-01,7.372736E+03,7.435699E+03
00:02:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.274147E+04,1.830142E+00,2.058429E+04,1.881181E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.893588E+00,8.575792E+04,8.193073E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.945576E+01,5.854905E+05,5.427566E+05,1.688551E+00,4.937557E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.640046E+00,5.428153E+04,4.990264E+04,3.747560E-01,2.120127E+04,2.163149E+01,2.923537E+05,2.903815E+05,3.747560E-01,6.412123E+03,2.323719E+01,3.300547E+05,3.336218E+05,1.731217E-02,9.794109E+02,4.390784E-01,5.511947E+03,5.317659E+03,1.731217E-02,2.962135E+02,6.410884E-01,9.077623E+03,9.162632E+03,3.971953E-01,1.474768E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.962135E+03,5.281176E+00,7.465644E+04,7.529809E+04,5.904132E-02,1.901913E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.962135E+02,5.214874E-01,7.371038E+03,7.433979E+03
00:03:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.276378E+04,1.827014E+00,2.051830E+04,1.873590E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.885665E+00,8.560008E+04,8.175590E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.937040E+01,5.838266E+05,5.409662E+05,1.688551E+00,4.937558E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.631948E+00,5.412125E+04,4.973140E+04,3.747560E-01,2.120127E+04,2.163148E+01,2.923537E+05,2.903815E+05,3.747560E-01,6.418412E+03,2.323698E+01,3.300454E+05,3.336124E+05,1.731217E-02,9.794109E+02,4.390771E-01,5.511928E+03,5.317639E+03,1.731217E-02,2.965040E+02,6.410104E-01,9.076221E+03,9.161211E+03,3.958718E-01,1.471842E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.965040E+03,5.280153E+00,7.463894E+04,7.528035E+04,5.904154E-02,1.901917E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.965040E+02,5.213893E-01,7.369348E+03,7.432267E+03
00:04:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.278608E+04,1.823884E+00,2.045227E+04,1.865991E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.877740E+00,8.544222E+04,8.158004E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.928509E+01,5.821633E+05,5.391716E+05,1.688552E+00,4.937559E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.623863E+00,5.396115E+04,4.955993E+04,3.747560E-01,2.120127E+04,2.163148E+01,2.923536E+05,2.903814E+05,3.747560E-01,6.424701E+03,2.323677E+01,3.300361E+05,3.336030E+05,1.731217E-02,9.794109E+02,4.390757E-01,5.511909E+03,5.317620E+03,1.731217E-02,2.967946E+02,6.409327E-01,9.074821E+03,9.159793E+03,3.945484E-01,1.468916E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.967946E+03,5.279133E+00,7.462148E+04,7.526267E+04,5.904176E-02,1.901922E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.967946E+02,5.212917E-01,7.367665E+03,7.430562E+03
00:05:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.280839E+04,1.820750E+00,2.038620E+04,1.858400E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.869817E+00,8.528438E+04,8.140467E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.919983E+01,5.805008E+05,5.373802E+05,1.688552E+00,4.937560E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.615790E+00,5.380123E+04,4.938883E+04,3.747560E-01,2.120127E+04,2.163147E+01,2.923535E+05,2.903813E+05,3.747560E-01,6.430989E+03,2.323656E+01,3.300268E+05,3.335936E+05,1.731217E-02,9.794109E+02,4.390744E-01,5.511889E+03,5.317600E+03,1.731217E-02,2.970851E+02,6.408552E-01,9.073424E+03,9.158378E+03,3.932252E-01,1.465991E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.970851E+03,5.278117E+00,7.460408E+04,7.524504E+04,5.904197E-02,1.901927E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.970851E+02,5.211947E-01,7.365989E+03,7.428865E+03
00:06:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.283069E+04,1.817614E+00,2.032009E+04,1.850827E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.861895E+00,8.512657E+04,8.123024E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.911466E+01,5.788394E+05,5.355949E+05,1.688553E+00,4.937562E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.607732E+00,5.364151E+04,4.921837E+04,3.747560E-01,2.120127E+04,2.163146E+01,2.923534E+05,2.903812E+05,3.747560E-01,6.437278E+03,2.323635E+01,3.300175E+05,3.335842E+05,1.731217E-02,9.794109E+02,4.390730E-01,5.511870E+03,5.317581E+03,1.731217E-02,2.973756E+02,6.407778E-01,9.072029E+03,9.156966E+03,3.919022E-01,1.463066E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.973756E+03,5.277104E+00,7.458672E+04,7.522746E+04,5.904219E-02,1.901932E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.973756E+02,5.210981E-01,7.364320E+03,7.427174E+03
00:07:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.285300E+04,1.814474E+00,2.025393E+04,1.843268E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.853976E+00,8.496879E+04,8.105665E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.902956E+01,5.771790E+05,5.338151E+05,1.688553E+00,4.937563E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.599690E+00,5.348200E+04,4.904850E+04,3.747560E-01,2.120127E+04,2.163146E+01,2.923533E+05,2.903811E+05,3.747560E-01,6.443567E+03,2.323614E+01,3.300082E+05,3.335748E+05,1.731217E-02,9.794109E+02,4.390717E-01,5.511851E+03,5.317561E+03,1.731217E-02,2.976661E+02,6.407006E-01,9.070637E+03,9.155556E+03,3.905793E-01,1.460142E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.976661E+03,5.276095E+00,7.456941E+04,7.520993E+04,5.904240E-02,1.901936E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.976661E+02,5.210020E-01,7.362658E+03,7.425491E+03
00:08:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.287530E+04,1.811332E+00,2.018773E+04,1.835721E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.846062E+00,8.481109E+04,8.088375E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.894456E+01,5.755201E+05,5.320401E+05,1.688553E+00,4.937564E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.591665E+00,5.332275E+04,4.887916E+04,3.747560E-01,2.120127E+04,2.163145E+01,2.923533E+05,2.903811E+05,3.747560E-01,6.449856E+03,2.323593E+01,3.299989E+05,3.335654E+05,1.731217E-02,9.794109E+02,4.390703E-01,5.511832E+03,5.317542E+03,1.731217E-02,2.979566E+02,6.406235E-01,9.069247E+03,9.154147E+03,3.892565E-01,1.457218E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.979566E+03,5.275088E+00,7.455214E+04,7.519243E+04,5.904261E-02,1.901941E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.979566E+02,5.209063E-01,7.361003E+03,7.423814E+03
00:09:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.289760E+04,1.811107E+00,2.016229E+04,1.832551E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.844173E+00,8.473753E+04,8.079705E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.892105E+01,5.747200E+05,5.311431E+05,1.688554E+00,4.937565E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.587103E+00,5.321186E+04,4.875933E+04,3.747560E-01,2.120127E+04,2.163145E+01,2.923531E+05,2.903809E+05,3.747560E-01,6.456145E+03,2.323579E+01,3.299906E+05,3.335570E+05,1.731217E-02,9.794109E+02,4.390682E-01,5.511802E+03,5.317512E+03,1.731217E-02,2.982471E+02,6.405896E-01,9.068472E+03,9.153362E+03,3.892832E-01,1.457277E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.982471E+03,5.274529E+00,7.454126E+04,7.518141E+04,5.904282E-02,1.901946E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.982471E+02,5.208111E-01,7.359353E+03,7.422143E+03
00:10:00,1.329123E+00,7.519322E+04,1.329123E+00,0.000000E+00,0.000000E+00,1.329123E+00,2.291991E+04,1.810906E+00,2.013718E+04,1.829425E+04,1.686567E+00,4.931756E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,6.842358E+00,8.466502E+04,8.071186E+04,1.686567E+01,4.931756E+05,1.686567E+01,0.000000E+00,0.000000E+00,1.686567E+01,0.000000E+00,4.889826E+01,5.739301E+05,5.302586E+05,1.688554E+00,4.937567E+04,1.686567E+00,0.000000E+00,0.000000E+00,1.686567E+00,0.000000E+00,4.582620E+00,5.310207E+04,4.864082E+04,3.747560E-01,2.120127E+04,2.163144E+01,2.923530E+05,2.903808E+05,3.747560E-01,6.462434E+03,2.323565E+01,3.299823E+05,3.335486E+05,1.731217E-02,9.794109E+02,4.390661E-01,5.511772E+03,5.317481E+03,1.731217E-02,2.985377E+02,6.405557E-01,9.067698E+03,9.152578E+03,3.893098E-01,1.457335E+04,1.731217E-01,0.000000E+00,0.000000E+00,1.731217E-01,2.985377E+03,5.273972E+00,7.453041E+04,7.517042E+04,5.904303E-02,1.901950E+03,1.731217E-02,0.000000E+00,0.000000E+00,1.731217E-02,2.985377E+02,5.207162E-01,7.357710E+03,7.420479E+03
